flower_id,event_timestamp,species,sepal_length,sepal_width,petal_length,petal_width
78,2023-12-31 23:59:59+00:00,versicolor,5.6,2.7,4.2,1.3
46,2023-12-31 23:59:59+00:00,setosa,5.7,4.4,1.5,0.4
79,2023-12-31 23:59:59+00:00,versicolor,5.7,2.9,4.2,1.3
75,2023-12-31 23:59:59+00:00,versicolor,4.9,2.4,3.3,1.0
117,2023-12-31 23:59:59+00:00,virginica,5.8,2.8,5.1,2.4
106,2023-12-31 23:59:59+00:00,virginica,7.7,2.6,6.9,2.3
135,2023-12-31 23:59:59+00:00,virginica,5.7,2.5,5.0,2.0
136,2023-12-31 23:59:59+00:00,virginica,6.5,3.0,5.2,2.0
98,2023-12-31 23:59:59+00:00,versicolor,6.1,3.0,4.6,1.4
90,2023-12-31 23:59:59+00:00,versicolor,6.5,2.8,4.6,1.5
51,2023-12-31 23:59:59+00:00,versicolor,6.3,2.5,4.9,1.5
57,2023-12-31 23:59:59+00:00,versicolor,5.0,2.0,3.5,1.0
39,2023-12-31 23:59:59+00:00,setosa,4.4,2.9,1.4,0.2
122,2023-12-31 23:59:59+00:00,virginica,6.1,2.6,5.6,1.4
150,2023-12-31 23:59:59+00:00,virginica,6.2,3.4,5.4,2.3
134,2023-12-31 23:59:59+00:00,virginica,6.0,3.0,4.8,1.8
88,2023-12-31 23:59:59+00:00,versicolor,5.8,2.7,4.1,1.0
71,2023-12-31 23:59:59+00:00,versicolor,5.6,3.0,4.5,1.5
109,2023-12-31 23:59:59+00:00,virginica,6.7,3.0,5.2,2.3
48,2023-12-31 23:59:59+00:00,setosa,4.5,2.3,1.3,0.3
99,2023-12-31 23:59:59+00:00,versicolor,6.8,2.8,4.8,1.4
19,2023-12-31 23:59:59+00:00,setosa,5.1,3.7,1.5,0.4
94,2023-12-31 23:59:59+00:00,versicolor,5.8,2.7,4.1,1.0
115,2023-12-31 23:59:59+00:00,virginica,6.3,3.4,5.6,2.4
119,2023-12-31 23:59:59+00:00,virginica,5.8,2.7,5.1,1.9
80,2023-12-31 23:59:59+00:00,versicolor,5.6,2.5,3.9,1.1
27,2023-12-31 23:59:59+00:00,setosa,5.0,3.5,1.3,0.3
67,2023-12-31 23:59:59+00:00,versicolor,5.5,2.4,3.8,1.1
91,2023-12-31 23:59:59+00:00,versicolor,6.3,3.3,4.7,1.6
66,2023-12-31 23:59:59+00:00,versicolor,5.5,2.4,3.8,1.1
34,2023-12-31 23:59:59+00:00,setosa,4.4,3.0,1.3,0.2
69,2023-12-31 23:59:59+00:00,versicolor,6.3,3.3,4.7,1.6
147,2023-12-31 23:59:59+00:00,virginica,6.1,3.0,4.9,1.8
18,2023-12-31 23:59:59+00:00,setosa,5.0,3.2,1.2,0.2
84,2023-12-31 23:59:59+00:00,versicolor,5.6,3.0,4.1,1.3
121,2023-12-31 23:59:59+00:00,virginica,6.5,3.0,5.5,1.8
148,2023-12-31 23:59:59+00:00,virginica,6.9,3.1,5.1,2.3
28,2023-12-31 23:59:59+00:00,setosa,5.1,3.8,1.9,0.4
17,2023-12-31 23:59:59+00:00,setosa,5.1,3.4,1.5,0.2
145,2023-12-31 23:59:59+00:00,virginica,6.2,3.4,5.4,2.3
31,2023-12-31 23:59:59+00:00,setosa,4.8,3.4,1.9,0.2
63,2023-12-31 23:59:59+00:00,versicolor,5.1,2.5,3.0,1.1
4,2023-12-31 23:59:59+00:00,setosa,5.0,3.6,1.4,0.2
41,2023-12-31 23:59:59+00:00,setosa,4.6,3.4,1.4,0.3
65,2023-12-31 23:59:59+00:00,versicolor,6.4,3.2,4.5,1.5
15,2023-12-31 23:59:59+00:00,setosa,5.4,3.4,1.7,0.2
24,2023-12-31 23:59:59+00:00,setosa,5.2,3.4,1.4,0.2
12,2023-12-31 23:59:59+00:00,setosa,4.9,3.1,1.5,0.1
129,2023-12-31 23:59:59+00:00,virginica,6.3,2.5,5.0,1.9
85,2023-12-31 23:59:59+00:00,versicolor,6.1,2.9,4.7,1.4
130,2023-12-31 23:59:59+00:00,virginica,6.0,2.2,5.0,1.5
127,2023-12-31 23:59:59+00:00,virginica,6.7,3.1,5.6,2.4
149,2023-12-31 23:59:59+00:00,virginica,6.2,2.8,4.8,1.8
70,2023-12-31 23:59:59+00:00,versicolor,6.2,2.9,4.3,1.3
7,2023-12-31 23:59:59+00:00,setosa,5.4,3.7,1.5,0.2
116,2023-12-31 23:59:59+00:00,virginica,7.4,2.8,6.1,1.9
142,2023-12-31 23:59:59+00:00,virginica,6.3,3.4,5.6,2.4
61,2023-12-31 23:59:59+00:00,versicolor,5.5,2.4,3.7,1.0
139,2023-12-31 23:59:59+00:00,virginica,6.7,2.5,5.8,1.8
124,2023-12-31 23:59:59+00:00,virginica,6.4,2.8,5.6,2.1
144,2023-12-31 23:59:59+00:00,virginica,7.7,2.8,6.7,2.0
102,2023-12-31 23:59:59+00:00,virginica,6.3,3.3,6.0,2.5
104,2023-12-31 23:59:59+00:00,virginica,6.5,3.0,5.8,2.2
14,2023-12-31 23:59:59+00:00,setosa,5.4,3.9,1.7,0.4
96,2023-12-31 23:59:59+00:00,versicolor,6.7,3.1,4.4,1.4
97,2023-12-31 23:59:59+00:00,versicolor,6.7,3.0,5.0,1.7
40,2023-12-31 23:59:59+00:00,setosa,4.7,3.2,1.6,0.2
126,2023-12-31 23:59:59+00:00,virginica,6.0,3.0,4.8,1.8
112,2023-12-31 23:59:59+00:00,virginica,7.2,3.6,6.1,2.5
50,2023-12-31 23:59:59+00:00,setosa,5.3,3.7,1.5,0.2
13,2023-12-31 23:59:59+00:00,setosa,5.2,3.5,1.5,0.2
11,2023-12-31 23:59:59+00:00,setosa,5.4,3.4,1.5,0.4
29,2023-12-31 23:59:59+00:00,setosa,5.1,3.8,1.6,0.2
32,2023-12-31 23:59:59+00:00,setosa,5.1,3.4,1.5,0.2
138,2023-12-31 23:59:59+00:00,virginica,7.7,3.8,6.7,2.2
58,2023-12-31 23:59:59+00:00,versicolor,6.0,2.7,5.1,1.6
87,2023-12-31 23:59:59+00:00,versicolor,5.5,2.3,4.0,1.3
43,2023-12-31 23:59:59+00:00,setosa,4.7,3.2,1.6,0.2
73,2023-12-31 23:59:59+00:00,versicolor,5.8,2.6,4.0,1.2
8,2023-12-31 23:59:59+00:00,setosa,5.5,4.2,1.4,0.2
23,2023-12-31 23:59:59+00:00,setosa,4.4,3.2,1.3,0.2
92,2023-12-31 23:59:59+00:00,versicolor,6.7,3.1,4.7,1.5
108,2023-12-31 23:59:59+00:00,virginica,6.3,2.8,5.1,1.5
100,2023-12-31 23:59:59+00:00,versicolor,5.1,2.5,3.0,1.1
22,2023-12-31 23:59:59+00:00,setosa,4.9,3.1,1.5,0.1
30,2023-12-31 23:59:59+00:00,setosa,5.1,3.8,1.5,0.3
83,2023-12-31 23:59:59+00:00,versicolor,6.6,3.0,4.4,1.4
21,2023-12-31 23:59:59+00:00,setosa,5.4,3.9,1.3,0.4
10,2023-12-31 23:59:59+00:00,setosa,4.8,3.0,1.4,0.1
131,2023-12-31 23:59:59+00:00,virginica,6.3,3.4,5.6,2.4
114,2023-12-31 23:59:59+00:00,virginica,7.6,3.0,6.6,2.1
125,2023-12-31 23:59:59+00:00,virginica,7.3,2.9,6.3,1.8
49,2023-12-31 23:59:59+00:00,setosa,5.0,3.4,1.6,0.4
77,2023-12-31 23:59:59+00:00,versicolor,5.5,2.6,4.4,1.2
38,2023-12-31 23:59:59+00:00,setosa,5.1,3.5,1.4,0.3
133,2023-12-31 23:59:59+00:00,virginica,7.2,3.2,6.0,1.8
56,2023-12-31 23:59:59+00:00,versicolor,6.2,2.2,4.5,1.5
103,2023-12-31 23:59:59+00:00,virginica,5.9,3.0,5.1,1.8
36,2023-12-31 23:59:59+00:00,setosa,4.6,3.6,1.0,0.2
81,2023-12-31 23:59:59+00:00,versicolor,6.1,3.0,4.6,1.4
123,2023-12-31 23:59:59+00:00,virginica,5.8,2.7,5.1,1.9
186,2024-12-31 23:59:59+00:00,versicolor,5.975291790677287,3.150549040775991,4.315865144172808,1.444042418272948
204,2024-12-31 23:59:59+00:00,versicolor,6.355992402729394,2.8934744632533107,4.413977469993094,1.5854119473228636
236,2024-12-31 23:59:59+00:00,virginica,6.287963958115698,2.767591717667765,4.646345774957479,1.8273430669335249
216,2024-12-31 23:59:59+00:00,virginica,7.006462160813288,2.901551279943787,6.11543993132076,2.0655123338759864
168,2024-12-31 23:59:59+00:00,setosa,4.35214460490597,3.1636184170221275,1.3369813514348825,0.133104417484869
227,2024-12-31 23:59:59+00:00,virginica,6.31604289523752,2.795386421864204,4.9020659520260805,1.7432987750311109
232,2024-12-31 23:59:59+00:00,virginica,6.409107768696401,3.206295758603446,5.779833548061951,2.397969047506219
152,2024-12-31 23:59:59+00:00,setosa,5.221586425454851,3.607230928972504,1.331024952620845,0.0388759236245176
155,2024-12-31 23:59:59+00:00,setosa,5.375444562476934,3.4289198539983405,1.7277656775198105,0.2395110853144843
188,2024-12-31 23:59:59+00:00,versicolor,5.566182070692208,2.780554414965213,4.16769435971982,1.268620307275424
193,2024-12-31 23:59:59+00:00,versicolor,6.32337497346488,2.6433986814226995,4.602488878481578,1.2945260716484586
151,2024-12-31 23:59:59+00:00,setosa,4.321940813259722,3.081108688455649,1.5027447077078504,0.3489002728430168
157,2024-12-31 23:59:59+00:00,setosa,4.489923075313945,2.282185464330172,1.2679831850486305,0.2923914950712208
160,2024-12-31 23:59:59+00:00,setosa,5.10153476931486,3.3553367932427225,1.5657467787086738,0.4509504477999538
172,2024-12-31 23:59:59+00:00,setosa,5.170722162339657,3.493668324862845,1.4106734891286068,0.3151597503991518
154,2024-12-31 23:59:59+00:00,setosa,5.531693268629432,3.3963938376253315,1.2249947373507697,0.2128598402803175
169,2024-12-31 23:59:59+00:00,setosa,5.363094415498773,3.4497404470144275,1.4651372457395322,0.4122049711900268
200,2024-12-31 23:59:59+00:00,versicolor,6.710334265661448,2.880494437422111,4.801417597760699,1.2930133912258348
239,2024-12-31 23:59:59+00:00,virginica,7.0654565823260045,3.166020989334982,5.242669595502468,2.090574585884558
175,2024-12-31 23:59:59+00:00,setosa,5.103054006985432,3.722210556052991,1.8177134035806075,0.3777451638843883
215,2024-12-31 23:59:59+00:00,virginica,6.856361503100676,3.31311231944108,5.94508286796391,2.3411115084580296
173,2024-12-31 23:59:59+00:00,setosa,4.712220923363552,3.022560514800237,1.7211683484105549,0.3119828296472192
187,2024-12-31 23:59:59+00:00,versicolor,5.045370638601057,2.1363612806502124,3.488709622434731,1.1187727327706731
190,2024-12-31 23:59:59+00:00,versicolor,6.899424699002644,3.133168849328741,4.9499036290132565,1.311926518904869
176,2024-12-31 23:59:59+00:00,setosa,4.986158882880712,3.5596502480704983,1.505963388719106,0.2410591800160103
180,2024-12-31 23:59:59+00:00,setosa,4.209507862493886,2.9128688656846253,1.4840938836812891,0.1383677237592279
213,2024-12-31 23:59:59+00:00,virginica,6.298548478589246,2.8681149439932048,5.125536319171828,1.5542225617983834
189,2024-12-31 23:59:59+00:00,versicolor,5.654041579221884,2.653395641688048,3.808306163082754,1.218573670982218
222,2024-12-31 23:59:59+00:00,virginica,5.901098940351107,2.7837633978642464,5.180170914865608,2.3410847337625005
163,2024-12-31 23:59:59+00:00,setosa,4.642177884311946,3.36430876589434,1.6788293312958895,0.1807411544128097
214,2024-12-31 23:59:59+00:00,virginica,5.85051246872565,2.980732074664172,4.910807322057664,1.865311666925041
202,2024-12-31 23:59:59+00:00,versicolor,5.670586294322655,2.5476885494344828,3.9395166163092137,1.1201282400862824
162,2024-12-31 23:59:59+00:00,setosa,4.898173996902471,3.000784758453094,1.6650583427245842,0.087283888542186
201,2024-12-31 23:59:59+00:00,versicolor,6.864129382206489,3.2722719647166234,4.73565529881522,1.4274827469442422
221,2024-12-31 23:59:59+00:00,virginica,6.572366671701747,2.95191918631618,5.845435665201842,2.1441458393602417
166,2024-12-31 23:59:59+00:00,setosa,5.062992729720236,3.784703871049609,2.0492541385016856,0.39484812402835
199,2024-12-31 23:59:59+00:00,versicolor,7.195813788007375,3.0880239619136978,4.8263201093205845,1.4238726943045448
184,2024-12-31 23:59:59+00:00,versicolor,5.578823707235446,2.545329852950488,4.143936391096353,1.4010016439623476
181,2024-12-31 23:59:59+00:00,versicolor,4.815756125173659,2.324209817798068,3.305359710151043,0.8923482537914847
179,2024-12-31 23:59:59+00:00,setosa,5.575088604949096,3.235108838124096,1.7380442159034146,0.0822829006049249
206,2024-12-31 23:59:59+00:00,versicolor,6.3690698248902615,3.2840158498793377,4.595151446409718,1.7337776050053202
225,2024-12-31 23:59:59+00:00,virginica,6.418849503278313,2.847159672064673,5.887928700651853,2.213503639496721
207,2024-12-31 23:59:59+00:00,versicolor,5.582973110454099,3.032010245856509,4.583149923803255,1.4510455970978036
185,2024-12-31 23:59:59+00:00,versicolor,5.722314006327686,3.047043697097494,4.133863601842875,1.0177932418530626
220,2024-12-31 23:59:59+00:00,virginica,6.537346840446978,3.228297856962397,5.664028937348031,2.332428652046292
203,2024-12-31 23:59:59+00:00,versicolor,6.202767662973008,3.016898176856197,4.378617294246459,1.4234712694901268
171,2024-12-31 23:59:59+00:00,setosa,5.176674864561233,3.427128337497752,1.4416628915282526,0.1899938831692174
210,2024-12-31 23:59:59+00:00,versicolor,6.238189626008545,2.3761784943459108,4.380517802100842,1.25517591819672
174,2024-12-31 23:59:59+00:00,setosa,5.820142606039057,3.928267914342836,1.2645116552791873,0.1510799530863854
238,2024-12-31 23:59:59+00:00,virginica,6.376644828155112,2.7049919221978893,5.688400079538788,2.237195407688105
208,2024-12-31 23:59:59+00:00,versicolor,6.461940552090831,2.807318377979254,4.732706402817827,1.6111050199657126
219,2024-12-31 23:59:59+00:00,virginica,6.354998433707597,2.832531901103948,5.557493296399364,1.913952191689387
233,2024-12-31 23:59:59+00:00,virginica,6.2448062655134535,3.3745900963995203,5.563661255383556,2.401932813324563
231,2024-12-31 23:59:59+00:00,virginica,6.025517260375196,2.223579382065291,5.05531849866782,1.3833270379907243
196,2024-12-31 23:59:59+00:00,versicolor,6.359772052221607,2.1053586571046274,4.436567177961965,1.3899165608516135
191,2024-12-31 23:59:59+00:00,versicolor,5.636984232540055,2.467341747215625,3.852423418993527,1.0496242724406226
234,2024-12-31 23:59:59+00:00,virginica,6.301503357653652,2.479334100333581,4.937975809847369,1.7489290116616203
178,2024-12-31 23:59:59+00:00,setosa,4.999753031764553,3.773348217053711,2.007779679598185,0.4392877195146136
198,2024-12-31 23:59:59+00:00,versicolor,5.091068069469283,2.7038746673002247,3.980280980263215,1.556887735282427
159,2024-12-31 23:59:59+00:00,setosa,4.431824210780613,2.8535100164809486,1.5353611224990114,0.1439255145856264
153,2024-12-31 23:59:59+00:00,setosa,5.196146816574408,3.557840761169415,1.4234566742930448,0.3296549379472137
237,2024-12-31 23:59:59+00:00,virginica,6.419127941766813,2.733512804852215,5.535649213806553,2.251661984338297
164,2024-12-31 23:59:59+00:00,setosa,5.204996329860257,3.4011807044654523,1.381221167869786,0.2683630216137428
197,2024-12-31 23:59:59+00:00,versicolor,5.69537960909295,2.67503231982724,4.285141346143689,1.5357850117667315
158,2024-12-31 23:59:59+00:00,setosa,4.872742976095092,2.9067304457804,1.6355340755639989,-0.0148668939549855
212,2024-12-31 23:59:59+00:00,virginica,5.71638318526812,2.8018371131918456,5.025271288135475,2.020476811695414
194,2024-12-31 23:59:59+00:00,versicolor,5.917329749376891,2.6391576553429608,3.999492945622549,1.0382585834843143
235,2024-12-31 23:59:59+00:00,virginica,6.402282419190372,2.807679948845454,5.594870146332284,2.1363969752368663
156,2024-12-31 23:59:59+00:00,setosa,4.704593222419593,3.211271208185201,1.6212227913026709,0.1573059744548405
229,2024-12-31 23:59:59+00:00,virginica,6.256415307323921,3.530461494476612,5.566091953154356,2.407814769514419
223,2024-12-31 23:59:59+00:00,virginica,6.408930404964382,3.378838021965993,5.2381060320399415,2.301871402939255
161,2024-12-31 23:59:59+00:00,setosa,4.741459457616884,2.990441324599044,1.4377837938274776,0.051270537751833
226,2024-12-31 23:59:59+00:00,virginica,6.667132080680595,3.2467191478311013,5.625775321289268,2.601079976215983
183,2024-12-31 23:59:59+00:00,versicolor,5.842827801442319,2.966596254113088,4.517696931708735,1.5749625499028417
218,2024-12-31 23:59:59+00:00,virginica,6.20699949269859,2.4866874037956235,4.904227252905975,1.7898036370355994
165,2024-12-31 23:59:59+00:00,setosa,5.125784401842815,3.2691471788827453,1.5205595371881635,0.0148256783668579
195,2024-12-31 23:59:59+00:00,versicolor,5.659046883908594,2.812975996113639,3.787381907031562,1.4624852990497073
209,2024-12-31 23:59:59+00:00,versicolor,5.912385937472094,3.16226868273172,4.79958875873232,1.796752581251353
211,2024-12-31 23:59:59+00:00,virginica,6.404500837564754,2.48875576618944,4.969294025442837,1.930159566237622
228,2024-12-31 23:59:59+00:00,virginica,6.399952847318442,3.056228318691595,5.371057225256293,1.6856724001291663
205,2024-12-31 23:59:59+00:00,versicolor,6.573395067519234,2.8729127600775928,4.270610340498045,1.4091053821303563
192,2024-12-31 23:59:59+00:00,versicolor,5.474734853257459,2.31382534225161,3.996103579989092,1.1011448385919094
217,2024-12-31 23:59:59+00:00,virginica,7.259928934041734,2.877374199880628,6.153779218133195,1.8991737528729145
177,2024-12-31 23:59:59+00:00,setosa,4.880530279310437,3.650848261544297,1.4850028614385142,0.3789460905088667
167,2024-12-31 23:59:59+00:00,setosa,4.860396095603743,2.976680364947293,1.625027150208604,0.3053501032566725
170,2024-12-31 23:59:59+00:00,setosa,4.491224153330619,3.625035046066471,1.1018677630527955,0.2105877361969743
182,2024-12-31 23:59:59+00:00,versicolor,6.040631853822494,2.839210617167171,5.085436687893287,1.6826241142040412
230,2024-12-31 23:59:59+00:00,virginica,6.618391226179298,2.914557970151155,5.650685135837022,2.1774747946145587
224,2024-12-31 23:59:59+00:00,virginica,6.116872642825397,3.1017024862829565,4.638702766545368,1.9076622626312985
240,2024-12-31 23:59:59+00:00,virginica,6.334331055744798,2.465968996954224,5.292898683908707,2.027658055279604
241,2025-12-31 23:59:59,setosa,5.124006748199463,3.4146175384521484,1.4138904809951782,0.2979251146316528
242,2025-12-31 23:59:59,setosa,5.091912269592285,3.495278835296631,1.533551573753357,0.3385865986347198
243,2025-12-31 23:59:59,setosa,4.897900581359863,2.974365472793579,1.5797570943832395,0.0988591760396957
244,2025-12-31 23:59:59,setosa,5.227264404296875,4.075287342071533,1.420465111732483,0.0307825468480587
245,2025-12-31 23:59:59,setosa,4.652927398681641,3.5558407306671143,0.948661744594574,0.2357859462499618
246,2025-12-31 23:59:59,setosa,5.559264659881592,3.48691987991333,1.254975199699402,0.0290627945214509
247,2025-12-31 23:59:59,setosa,4.947630405426025,3.388608932495117,1.3216242790222168,0.2930320799350738
248,2025-12-31 23:59:59,setosa,5.142452716827393,3.451734066009521,1.5984649658203125,0.6297429800033569
249,2025-12-31 23:59:59,setosa,5.324325084686279,3.809549331665039,1.2971198558807373,0.3618263006210327
250,2025-12-31 23:59:59,setosa,4.579644203186035,3.278293371200561,1.4298290014266968,0.0980818420648574
251,2025-12-31 23:59:59,setosa,4.607657909393311,3.01354455947876,1.6078332662582395,0.2431307286024093
252,2025-12-31 23:59:59,setosa,4.879397392272949,3.1302413940429688,1.5423890352249146,0.3077861368656158
253,2025-12-31 23:59:59,setosa,5.035207748413086,3.4939513206481934,1.2909879684448242,0.4473391473293304
254,2025-12-31 23:59:59,setosa,4.609600067138672,3.1815078258514404,1.2563416957855225,0.2738724946975708
255,2025-12-31 23:59:59,setosa,4.5613532066345215,2.936415910720825,1.5114340782165527,0.0185902137309312
256,2025-12-31 23:59:59,setosa,5.614131927490234,4.263711452484131,1.480098009109497,0.1519068777561187
257,2025-12-31 23:59:59,setosa,5.223484039306641,3.391364812850952,1.5203089714050293,0.2437085062265396
258,2025-12-31 23:59:59,setosa,4.233097553253174,2.941636085510254,0.949648380279541,0.0883826240897178
259,2025-12-31 23:59:59,setosa,4.535384654998779,2.5284571647644043,1.2666443586349487,0.2191727012395858
260,2025-12-31 23:59:59,setosa,5.497632026672363,3.8091554641723633,1.1938687562942505,0.2181136310100555
261,2025-12-31 23:59:59,versicolor,6.765352725982666,2.824432849884033,4.90852165222168,1.8131520748138428
262,2025-12-31 23:59:59,versicolor,5.451117515563965,2.579342126846313,3.681917905807495,1.1413079500198364
263,2025-12-31 23:59:59,versicolor,5.836691379547119,2.712050199508667,5.219675540924072,1.5618702173233032
264,2025-12-31 23:59:59,versicolor,5.273458480834961,1.9686311483383176,3.773399353027344,0.9775496125221252
265,2025-12-31 23:59:59,versicolor,6.300370216369629,3.317205905914306,4.374074935913086,1.6397331953048706
266,2025-12-31 23:59:59,versicolor,5.0532050132751465,2.418718099594116,3.31304931640625,0.9999939799308776
267,2025-12-31 23:59:59,versicolor,5.732208728790283,3.018632411956787,4.134588718414307,1.3153574466705322
268,2025-12-31 23:59:59,versicolor,6.132418155670166,2.829670190811157,4.02777099609375,1.297895908355713
269,2025-12-31 23:59:59,versicolor,5.95860767364502,2.430586338043213,4.000372886657715,1.0797525644302368
270,2025-12-31 23:59:59,versicolor,6.133457660675049,3.110905408859253,4.719222068786621,1.4667755365371704
271,2025-12-31 23:59:59,versicolor,6.274693012237549,2.8893730640411377,4.724973678588867,1.242483615875244
272,2025-12-31 23:59:59,versicolor,5.6993489265441895,2.789028644561768,4.503443241119385,1.2622016668319702
273,2025-12-31 23:59:59,versicolor,5.726731300354004,2.8810625076293945,4.012537956237793,1.2831836938858032
274,2025-12-31 23:59:59,versicolor,6.148089408874512,2.301724433898926,4.456298351287842,1.598741888999939
275,2025-12-31 23:59:59,versicolor,6.55086088180542,3.1589081287384038,4.715988636016846,1.4895286560058594
276,2025-12-31 23:59:59,versicolor,4.905350685119629,1.9890090227127075,3.4798829555511475,0.8862777352333069
277,2025-12-31 23:59:59,versicolor,6.340209007263184,3.3104114532470703,4.663465976715088,1.47181236743927
278,2025-12-31 23:59:59,versicolor,4.969171524047852,2.4859747886657715,3.069009780883789,1.202441930770874
279,2025-12-31 23:59:59,versicolor,6.876707077026367,3.1623778343200684,4.969954490661621,1.50670325756073
280,2025-12-31 23:59:59,versicolor,6.485901832580566,3.092191219329834,4.33682107925415,1.4373806715011597
281,2025-12-31 23:59:59,virginica,5.7678303718566895,2.659376382827759,4.861921310424805,1.886358618736267
282,2025-12-31 23:59:59,virginica,6.959579944610596,2.998731136322021,5.187986850738525,2.1948845386505127
283,2025-12-31 23:59:59,virginica,5.835937976837158,2.9006261825561523,5.006250858306885,1.6466022729873655
284,2025-12-31 23:59:59,virginica,5.6606645584106445,2.453547954559326,4.964037895202637,2.013509511947632
285,2025-12-31 23:59:59,virginica,5.626217842102051,2.8420751094818115,5.151766300201416,2.377562522888184
286,2025-12-31 23:59:59,virginica,6.451229095458984,3.086322784423828,5.675045013427734,1.9016175270080569
287,2025-12-31 23:59:59,virginica,6.375932693481445,2.658534526824951,5.095906734466553,1.5654033422470093
288,2025-12-31 23:59:59,virginica,6.39082145690918,2.490585803985596,5.197046756744385,1.9433766603469849
289,2025-12-31 23:59:59,virginica,6.736391067504883,3.132817268371582,5.952014923095703,2.380547046661377
290,2025-12-31 23:59:59,virginica,7.756406784057617,2.782705545425415,6.809732913970947,1.853654146194458
291,2025-12-31 23:59:59,virginica,6.640932083129883,3.316265344619751,5.785472393035889,2.546783924102783
292,2025-12-31 23:59:59,virginica,6.1950860023498535,3.5111024379730225,5.752718448638916,2.5785775184631348
293,2025-12-31 23:59:59,virginica,6.53480863571167,3.215644598007202,5.865259170532227,2.2374632358551025
294,2025-12-31 23:59:59,virginica,6.907531261444092,3.029757499694824,5.071941375732422,2.3079843521118164
295,2025-12-31 23:59:59,virginica,5.763051509857178,2.8020339012146,4.881108283996582,2.5008537769317627
